=== ppl_streaming start 2026-08-16 00:27:42 ===
corpus /Users/kk/work/research/dsv4-streaming/streaming/../logs/ppl_corpus.npy (200,000 tokens, 195 windows available); running first 195 windows x 1024 tokens; cache 8.0 GB, store lru
[store] prefill (get_many) reads: page-cached; insert policy: fill-no-evict
[load] resident weights in 0.9s (9.4 GB active)
[load] done in 0.9s
[win 49/195] nll_sum 2302.72 over 1023 tok  ppl 9.4967  cumulative ppl 5.6027  75s (13.64 tok/s)  store {'hits': 27114, 'misses': 411227, 'hit_rate': 0.0619, 'read_gb': 5821.24, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 410662}  mem peak 25.3 GB
[win 50/195] nll_sum 1736.67 over 1023 tok  ppl 5.4610  cumulative ppl 5.5998  77s (13.25 tok/s)  store {'hits': 27679, 'misses': 419595, 'hit_rate': 0.0619, 'read_gb': 5939.69, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 419030}  mem peak 25.3 GB
[win 51/195] nll_sum 1994.88 over 1023 tok  ppl 7.0289  cumulative ppl 5.6248  82s (12.46 tok/s)  store {'hits': 28244, 'misses': 428193, 'hit_rate': 0.0619, 'read_gb': 6061.4, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 427628}  mem peak 25.3 GB
[win 52/195] nll_sum 2435.22 over 1023 tok  ppl 10.8099  cumulative ppl 5.6959  75s (13.58 tok/s)  store {'hits': 28809, 'misses': 436517, 'hit_rate': 0.0619, 'read_gb': 6179.24, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 435952}  mem peak 25.3 GB
[win 53/195] nll_sum 2291.48 over 1023 tok  ppl 9.3930  cumulative ppl 5.7499  80s (12.86 tok/s)  store {'hits': 29374, 'misses': 445302, 'hit_rate': 0.0619, 'read_gb': 6303.6, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 444737}  mem peak 25.3 GB
[win 54/195] nll_sum 2376.68 over 1023 tok  ppl 10.2087  cumulative ppl 5.8114  81s (12.65 tok/s)  store {'hits': 29939, 'misses': 454057, 'hit_rate': 0.0619, 'read_gb': 6427.53, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 453492}  mem peak 25.3 GB
[win 55/195] nll_sum 2457.77 over 1023 tok  ppl 11.0509  cumulative ppl 5.8797  79s (12.96 tok/s)  store {'hits': 30504, 'misses': 462658, 'hit_rate': 0.0619, 'read_gb': 6549.28, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 462093}  mem peak 25.3 GB
[win 56/195] nll_sum 1584.31 over 1023 tok  ppl 4.7053  cumulative ppl 5.8563  78s (13.14 tok/s)  store {'hits': 31069, 'misses': 471288, 'hit_rate': 0.0618, 'read_gb': 6671.45, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 470723}  mem peak 25.3 GB
[win 57/195] nll_sum 1833.84 over 1023 tok  ppl 6.0051  cumulative ppl 5.8589  76s (13.52 tok/s)  store {'hits': 31634, 'misses': 479175, 'hit_rate': 0.0619, 'read_gb': 6783.09, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 478610}  mem peak 25.3 GB
[win 58/195] nll_sum 1763.01 over 1023 tok  ppl 5.6034  cumulative ppl 5.8544  77s (13.37 tok/s)  store {'hits': 32199, 'misses': 487316, 'hit_rate': 0.062, 'read_gb': 6898.34, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 486751}  mem peak 25.3 GB
